October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
IA-125,"Marion County, IA",51.2,31,-2.5,53.7,Marion County,IA,", "
IA-127,"Marshall County, IA",50.4,46,-1.1,51.5,Marshall County,IA,", "
IA-129,"Mills County, IA",53.4,62,-0.2,53.6,Mills County,IA,", "
IA-131,"Mitchell County, IA",47.7,51,-1,48.7,Mitchell County,IA,", "
IA-133,"Monona County, IA",51.3,56,-0.3,51.6,Monona County,IA,", "
IA-135,"Monroe County, IA",51.3,29,-2.6,53.9,Monroe County,IA,", "
IA-137,"Montgomery County, IA",52.8,62,-0.3,53.1,Montgomery County,IA,", "
IA-139,"Muscatine County, IA",51.3,42,-1.7,53,Muscatine County,IA,", "
IA-141,"O'Brien County, IA",49.8,71,0.4,49.4,O'Brien County,IA,", "
IA-143,"Osceola County, IA",49,72,0.4,48.6,Osceola County,IA,", "
IA-145,"Page County, IA",53.2,57,-0.5,53.7,Page County,IA,", "
IA-147,"Palo Alto County, IA",49.1,62,-0.2,49.3,Palo Alto County,IA,", "
IA-149,"Plymouth County, IA",50.4,70,0.2,50.2,Plymouth County,IA,", "
IA-151,"Pocahontas County, IA",49.2,52,-1.1,50.3,Pocahontas County,IA,", "
IA-153,"Polk County, IA",52.1,52,-1,53.1,Polk County,IA,", "
IA-155,"Pottawattamie County, IA",52.5,61,-0.3,52.8,Pottawattamie County,IA,", "
IA-157,"Poweshiek County, IA",49.7,33,-2.2,51.9,Poweshiek County,IA,", "
IA-159,"Ringgold County, IA",53.4,71,0.1,53.3,Ringgold County,IA,", "
IA-161,"Sac County, IA",50.9,72,0.4,50.5,Sac County,IA,", "
IA-163,"Scott County, IA",51.8,52,-0.8,52.6,Scott County,IA,", "
IA-165,"Shelby County, IA",50.8,51,-0.8,51.6,Shelby County,IA,", "
IA-167,"Sioux County, IA",50,71,0.3,49.7,Sioux County,IA,", "
IA-169,"Story County, IA",50.9,52,-0.8,51.7,Story County,IA,", "
IA-171,"Tama County, IA",49.7,40,-1.6,51.3,Tama County,IA,", "
IA-173,"Taylor County, IA",53.1,67,-0.1,53.2,Taylor County,IA,", "
IA-175,"Union County, IA",52.5,63,-0.3,52.8,Union County,IA,", "
IA-177,"Van Buren County, IA",51.2,23,-3.1,54.3,Van Buren County,IA,", "
IA-179,"Wapello County, IA",51.5,31,-2.2,53.7,Wapello County,IA,", "
IA-181,"Warren County, IA",52,37,-1.8,53.8,Warren County,IA,", "
IA-183,"Washington County, IA",50.6,32,-2.2,52.8,Washington County,IA,", "
IA-185,"Wayne County, IA",51.7,34,-2,53.7,Wayne County,IA,", "
IA-187,"Webster County, IA",49.7,50,-1.2,50.9,Webster County,IA,", "
IA-189,"Winnebago County, IA",48.6,60,-0.4,49,Winnebago County,IA,", "
IA-191,"Winneshiek County, IA",48.2,63,-0.2,48.4,Winneshiek County,IA,", "
IA-193,"Woodbury County, IA",50.9,60,-0.1,51,Woodbury County,IA,", "
IA-195,"Worth County, IA",48.5,61,-0.4,48.9,Worth County,IA,", "
IA-197,"Wright County, IA",48.9,47,-1.2,50.1,Wright County,IA,", "
KS-001,"Allen County, KS",58.8,67,-0.1,58.9,Allen County,KS,", "
KS-003,"Anderson County, KS",58,62,-0.2,58.2,Anderson County,KS,", "
KS-005,"Atchison County, KS",55.8,58,-0.3,56.1,Atchison County,KS,", "
KS-007,"Barber County, KS",59.7,81,0.9,58.8,Barber County,KS,", "
KS-009,"Barton County, KS",57.2,75,0.4,56.8,Barton County,KS,", "
KS-011,"Bourbon County, KS",58.5,57,-0.6,59.1,Bourbon County,KS,", "
KS-013,"Brown County, KS",55,57,-0.4,55.4,Brown County,KS,", "
KS-015,"Butler County, KS",59.8,92,1.5,58.3,Butler County,KS,", "
KS-017,"Chase County, KS",57.4,60,0,57.4,Chase County,KS,", "
KS-019,"Chautauqua County, KS",60.5,86,0.8,59.7,Chautauqua County,KS,", "
KS-021,"Cherokee County, KS",60,69,0,60,Cherokee County,KS,", "
KS-023,"Cheyenne County, KS",55.9,115,3.5,52.4,Cheyenne County,KS,", "
KS-025,"Clark County, KS",59.2,80,0.7,58.5,Clark County,KS,", "
KS-027,"Clay County, KS",57,73,0.6,56.4,Clay County,KS,", "
KS-029,"Cloud County, KS",57.4,87,1.4,56,Cloud County,KS,", "
KS-031,"Coffey County, KS",59,86,1,58,Coffey County,KS,", "
KS-033,"Comanche County, KS",59.3,80,0.9,58.4,Comanche County,KS,", "
KS-035,"Cowley County, KS",60.8,92,1.5,59.3,Cowley County,KS,", "
KS-037,"Crawford County, KS",59.2,61,-0.2,59.4,Crawford County,KS,", "
KS-039,"Decatur County, KS",55.8,104,2.5,53.3,Decatur County,KS,", "
KS-041,"Dickinson County, KS",57.6,70,0.5,57.1,Dickinson County,KS,", "
KS-043,"Doniphan County, KS",54.9,47,-1.3,56.2,Doniphan County,KS,", "
KS-045,"Douglas County, KS",57.5,65,0.1,57.4,Douglas County,KS,", "
KS-047,"Edwards County, KS",58.2,87,1.2,57,Edwards County,KS,", "
KS-049,"Elk County, KS",59.9,87,0.9,59,Elk County,KS,", "
KS-051,"Ellis County, KS",57.5,89,1.6,55.9,Ellis County,KS,", "
KS-053,"Ellsworth County, KS",57.9,83,0.9,57,Ellsworth County,KS,", "
KS-055,"Finney County, KS",56.9,91,1.6,55.3,Finney County,KS,", "
KS-057,"Ford County, KS",58.3,90,1.5,56.8,Ford County,KS,", "
KS-059,"Franklin County, KS",57.7,64,0,57.7,Franklin County,KS,", "
KS-061,"Geary County, KS",57,68,0.2,56.8,Geary County,KS,", "
KS-063,"Gove County, KS",57,100,2.2,54.8,Gove County,KS,", "
KS-065,"Graham County, KS",56.3,84,1.4,54.9,Graham County,KS,", "
KS-067,"Grant County, KS",57.4,94,1.3,56.1,Grant County,KS,", "
KS-069,"Gray County, KS",57.6,90,1.6,56,Gray County,KS,", "
KS-071,"Greeley County, KS",55.2,97,1.8,53.4,Greeley County,KS,", "
KS-073,"Greenwood County, KS",59.2,87,1,58.2,Greenwood County,KS,", "
KS-075,"Hamilton County, KS",56.3,90,1.3,55,Hamilton County,KS,", "
KS-077,"Harper County, KS",61,94,1.5,59.5,Harper County,KS,", "
KS-079,"Harvey County, KS",59.2,82,1.1,58.1,Harvey County,KS,", "
KS-081,"Haskell County, KS",57.4,88,1.3,56.1,Haskell County,KS,", "
KS-083,"Hodgeman County, KS",58.2,89,1.6,56.6,Hodgeman County,KS,", "
KS-085,"Jackson County, KS",55.8,62,-0.1,55.9,Jackson County,KS,", "
KS-087,"Jefferson County, KS",57.1,69,0.4,56.7,Jefferson County,KS,", "
KS-089,"Jewell County, KS",55.9,85,1.2,54.7,Jewell County,KS,", "
KS-091,"Johnson County, KS",57.5,68,0.2,57.3,Johnson County,KS,", "
KS-093,"Kearny County, KS",56.5,91,1.5,55,Kearny County,KS,", "
KS-095,"Kingman County, KS",59.3,78,0.8,58.5,Kingman County,KS,", "
KS-097,"Kiowa County, KS",58.6,86,1.1,57.5,Kiowa County,KS,", "
KS-099,"Labette County, KS",60.5,76,0.3,60.2,Labette County,KS,", "
KS-101,"Lane County, KS",57,97,2,55,Lane County,KS,", "
KS-103,"Leavenworth County, KS",57.3,69,0.3,57,Leavenworth County,KS,", "
KS-105,"Lincoln County, KS",57.7,87,1.3,56.4,Lincoln County,KS,", "
KS-107,"Linn County, KS",57.6,51,-0.8,58.4,Linn County,KS,", "
KS-109,"Logan County, KS",56.9,111,2.8,54.1,Logan County,KS,", "
KS-111,"Lyon County, KS",58.3,79,1.1,57.2,Lyon County,KS,", "
KS-113,"McPherson County, KS",58.6,81,1.2,57.4,McPherson County,KS,", "
KS-115,"Marion County, KS",58,70,0.6,57.4,Marion County,KS,", "
KS-117,"Marshall County, KS",54.8,59,-0.4,55.2,Marshall County,KS,", "
KS-119,"Meade County, KS",59,89,1.2,57.8,Meade County,KS,", "
KS-121,"Miami County, KS",57.4,63,-0.3,57.7,Miami County,KS,", "
KS-123,"Mitchell County, KS",56.7,80,1,55.7,Mitchell County,KS,", "
KS-125,"Montgomery County, KS",60.6,76,0.3,60.3,Montgomery County,KS,", "
KS-127,"Morris County, KS",56.8,67,0.2,56.6,Morris County,KS,", "
KS-129,"Morton County, KS",58.3,97,1.8,56.5,Morton County,KS,", "
KS-131,"Nemaha County, KS",54.6,55,-0.5,55.1,Nemaha County,KS,", "
KS-133,"Neosho County, KS",59.8,76,0.2,59.6,Neosho County,KS,", "
KS-135,"Ness County, KS",57.7,87,1.5,56.2,Ness County,KS,", "
KS-137,"Norton County, KS",55.4,90,1.6,53.8,Norton County,KS,", "
KS-139,"Osage County, KS",58.3,83,1.1,57.2,Osage County,KS,", "
KS-141,"Osborne County, KS",56.8,86,1.3,55.5,Osborne County,KS,", "
KS-143,"Ottawa County, KS",57.9,84,1.3,56.6,Ottawa County,KS,", "
KS-145,"Pawnee County, KS",57.6,77,0.8,56.8,Pawnee County,KS,", "
KS-147,"Phillips County, KS",55.4,75,0.8,54.6,Phillips County,KS,", "
KS-149,"Pottawatomie County, KS",56.1,64,-0.1,56.2,Pottawatomie County,KS,", "
KS-151,"Pratt County, KS",58.4,77,0.8,57.6,Pratt County,KS,", "
KS-153,"Rawlins County, KS",55.7,110,2.8,52.9,Rawlins County,KS,", "
KS-155,"Reno County, KS",58.7,76,0.8,57.9,Reno County,KS,", "
KS-157,"Republic County, KS",56.2,85,1.3,54.9,Republic County,KS,", "
KS-159,"Rice County, KS",57.8,77,0.5,57.3,Rice County,KS,", "
KS-161,"Riley County, KS",56.5,66,0.1,56.4,Riley County,KS,", "
KS-163,"Rooks County, KS",56.5,82,1.1,55.4,Rooks County,KS,", "
KS-165,"Rush County, KS",57.4,80,1,56.4,Rush County,KS,", "
KS-167,"Russell County, KS",57.9,93,1.6,56.3,Russell County,KS,", "
KS-169,"Saline County, KS",58.4,83,1.1,57.3,Saline County,KS,", "
KS-171,"Scott County, KS",56.4,98,1.9,54.5,Scott County,KS,", "
KS-173,"Sedgwick County, KS",60.5,94,1.6,58.9,Sedgwick County,KS,", "
KS-175,"Seward County, KS",58.6,92,1.4,57.2,Seward County,KS,", "
KS-177,"Shawnee County, KS",57.9,80,1,56.9,Shawnee County,KS,", "
KS-179,"Sheridan County, KS",56.3,105,2.4,53.9,Sheridan County,KS,", "
KS-181,"Sherman County, KS",56.3,118,4,52.3,Sherman County,KS,", "
KS-183,"Smith County, KS",55.6,80,0.8,54.8,Smith County,KS,", "
KS-185,"Stafford County, KS",57.7,73,0.5,57.2,Stafford County,KS,", "
KS-187,"Stanton County, KS",57.4,94,1.5,55.9,Stanton County,KS,", "
KS-189,"Stevens County, KS",58.3,93,1.5,56.8,Stevens County,KS,", "
KS-191,"Sumner County, KS",61.4,93,1.8,59.6,Sumner County,KS,", "
KS-193,"Thomas County, KS",56,112,2.9,53.1,Thomas County,KS,", "
KS-195,"Trego County, KS",57.2,89,1.7,55.5,Trego County,KS,", "
KS-197,"Wabaunsee County, KS",57.3,69,0.6,56.7,Wabaunsee County,KS,", "
KS-199,"Wallace County, KS",56.4,114,3.2,53.2,Wallace County,KS,", "
KS-201,"Washington County, KS",55.4,64,0.2,55.2,Washington County,KS,", "
KS-203,"Wichita County, KS",55.7,90,1.6,54.1,Wichita County,KS,", "
KS-205,"Wilson County, KS",60,77,0.3,59.7,Wilson County,KS,", "
KS-207,"Woodson County, KS",59.5,89,0.7,58.8,Woodson County,KS,", "
KS-209,"Wyandotte County, KS",57.7,74,0.5,57.2,Wyandotte County,KS,", "
KY-001,"Adair County, KY",54.8,27,-2.2,57,Adair County,KY,", "
KY-003,"Allen County, KY",56.2,20,-2.5,58.7,Allen County,KY,", "
KY-005,"Anderson County, KY",55.1,36,-1.3,56.4,Anderson County,KY,", "
KY-007,"Ballard County, KY",58.2,45,-0.9,59.1,Ballard County,KY,", "
KY-009,"Barren County, KY",56.1,26,-2.1,58.2,Barren County,KY,", "
KY-011,"Bath County, KY",54.2,33,-1.6,55.8,Bath County,KY,", "
KY-013,"Bell County, KY",52,11,-3.7,55.7,Bell County,KY,", "
KY-015,"Boone County, KY",54.6,41,-0.9,55.5,Boone County,KY,", "
KY-017,"Bourbon County, KY",54.1,30,-1.6,55.7,Bourbon County,KY,", "
KY-019,"Boyd County, KY",54,34,-1.5,55.5,Boyd County,KY,", "
KY-021,"Boyle County, KY",55,32,-1.4,56.4,Boyle County,KY,", "
KY-023,"Bracken County, KY",53.7,33,-1.5,55.2,Bracken County,KY,", "
KY-025,"Breathitt County, KY",54.6,29,-2.3,56.9,Breathitt County,KY,", "
KY-027,"Breckinridge County, KY",54.7,24,-2.4,57.1,Breckinridge County,KY,", "
KY-029,"Bullitt County, KY",56,41,-1,57,Bullitt County,KY,", "
KY-031,"Butler County, KY",57.1,45,-1.2,58.3,Butler County,KY,", "
KY-033,"Caldwell County, KY",57,34,-1.8,58.8,Caldwell County,KY,", "
KY-035,"Calloway County, KY",57.1,23,-2.3,59.4,Calloway County,KY,", "
KY-037,"Campbell County, KY",54.3,35,-1.3,55.6,Campbell County,KY,", "
KY-039,"Carlisle County, KY",58.3,42,-1,59.3,Carlisle County,KY,", "
KY-041,"Carroll County, KY",55,41,-1.1,56.1,Carroll County,KY,", "
KY-043,"Carter County, KY",53.1,33,-1.7,54.8,Carter County,KY,", "
KY-045,"Casey County, KY",54.1,27,-2.2,56.3,Casey County,KY,", "
KY-047,"Christian County, KY",56.6,25,-2.2,58.8,Christian County,KY,", "
KY-049,"Clark County, KY",54.6,33,-1.6,56.2,Clark County,KY,", "
KY-051,"Clay County, KY",53.3,16,-3.2,56.5,Clay County,KY,", "
KY-053,"Clinton County, KY",54.4,20,-2.7,57.1,Clinton County,KY,", "
KY-055,"Crittenden County, KY",57.2,37,-1.5,58.7,Crittenden County,KY,", "
KY-057,"Cumberland County, KY",55.3,21,-2.5,57.8,Cumberland County,KY,", "
KY-059,"Daviess County, KY",56.2,31,-1.8,58,Daviess County,KY,", "
KY-061,"Edmonson County, KY",56.6,38,-1.5,58.1,Edmonson County,KY,", "
KY-063,"Elliott County, KY",53.2,30,-1.9,55.1,Elliott County,KY,", "
KY-065,"Estill County, KY",54.8,27,-2.2,57,Estill County,KY,", "
KY-067,"Fayette County, KY",54.7,37,-1.4,56.1,Fayette County,KY,", "
KY-069,"Fleming County, KY",53.7,35,-1.5,55.2,Fleming County,KY,", "
KY-071,"Floyd County, KY",53.7,20,-3.2,56.9,Floyd County,KY,", "
KY-073,"Franklin County, KY",55,40,-1.2,56.2,Franklin County,KY,", "
KY-075,"Fulton County, KY",58.5,38,-1.4,59.9,Fulton County,KY,", "
KY-077,"Gallatin County, KY",55,40,-1,56,Gallatin County,KY,", "
KY-079,"Garrard County, KY",55.1,32,-1.7,56.8,Garrard County,KY,", "
KY-081,"Grant County, KY",54.4,36,-1.3,55.7,Grant County,KY,", "
KY-083,"Graves County, KY",57.9,37,-1.4,59.3,Graves County,KY,", "
KY-085,"Grayson County, KY",55.6,32,-1.7,57.3,Grayson County,KY,", "
KY-087,"Green County, KY",55.6,30,-1.8,57.4,Green County,KY,", "
KY-089,"Greenup County, KY",53.3,34,-1.5,54.8,Greenup County,KY,", "
KY-091,"Hancock County, KY",54.8,18,-2.9,57.7,Hancock County,KY,", "
KY-093,"Hardin County, KY",55.3,31,-1.6,56.9,Hardin County,KY,", "
KY-095,"Harlan County, KY",51.7,12,-3.3,55,Harlan County,KY,", "
KY-097,"Harrison County, KY",53.9,31,-1.7,55.6,Harrison County,KY,", "
KY-099,"Hart County, KY",55.9,29,-1.7,57.6,Hart County,KY,", "
KY-101,"Henderson County, KY",57.1,41,-1.3,58.4,Henderson County,KY,", "
KY-103,"Henry County, KY",54.7,38,-1.2,55.9,Henry County,KY,", "
KY-105,"Hickman County, KY",58.3,41,-1.2,59.5,Hickman County,KY,", "
KY-107,"Hopkins County, KY",57.2,37,-1.5,58.7,Hopkins County,KY,", "
KY-109,"Jackson County, KY",53.4,21,-2.7,56.1,Jackson County,KY,", "
KY-111,"Jefferson County, KY",56,43,-0.9,56.9,Jefferson County,KY,", "
KY-113,"Jessamine County, KY",55.2,37,-1.3,56.5,Jessamine County,KY,", "
KY-115,"Johnson County, KY",53.4,25,-2.7,56.1,Johnson County,KY,", "
KY-117,"Kenton County, KY",54.3,39,-1.2,55.5,Kenton County,KY,", "
KY-119,"Knott County, KY",53.3,19,-3,56.3,Knott County,KY,", "
KY-121,"Knox County, KY",52.6,13,-3.6,56.2,Knox County,KY,", "
KY-123,"Larue County, KY",55.4,30,-1.6,57,Larue County,KY,", "
KY-125,"Laurel County, KY",53.1,19,-3.1,56.2,Laurel County,KY,", "
KY-127,"Lawrence County, KY",53.5,29,-2.2,55.7,Lawrence County,KY,", "
KY-129,"Lee County, KY",54.6,26,-2.4,57,Lee County,KY,", "
KY-131,"Leslie County, KY",53.2,17,-3,56.2,Leslie County,KY,", "
KY-133,"Letcher County, KY",52.1,12,-3.5,55.6,Letcher County,KY,", "
KY-135,"Lewis County, KY",53,32,-1.7,54.7,Lewis County,KY,", "
KY-137,"Lincoln County, KY",54.3,27,-2,56.3,Lincoln County,KY,", "
KY-139,"Livingston County, KY",57.8,41,-1.2,59,Livingston County,KY,", "
KY-141,"Logan County, KY",56.8,30,-1.9,58.7,Logan County,KY,", "
KY-143,"Lyon County, KY",57.4,34,-1.7,59.1,Lyon County,KY,", "
KY-145,"McCracken County, KY",58.4,49,-0.7,59.1,McCracken County,KY,", "
KY-147,"McCreary County, KY",52.4,11,-3.6,56,McCreary County,KY,", "
KY-149,"McLean County, KY",57.1,40,-1.3,58.4,McLean County,KY,", "
KY-151,"Madison County, KY",55,30,-1.9,56.9,Madison County,KY,", "
KY-153,"Magoffin County, KY",53.7,25,-2.5,56.2,Magoffin County,KY,", "
KY-155,"Marion County, KY",55.2,32,-1.6,56.8,Marion County,KY,", "
KY-157,"Marshall County, KY",57.8,34,-1.6,59.4,Marshall County,KY,", "
KY-159,"Martin County, KY",53.5,21,-3.1,56.6,Martin County,KY,", "
KY-161,"Mason County, KY",53.4,35,-1.5,54.9,Mason County,KY,", "
KY-163,"Meade County, KY",54.8,26,-2,56.8,Meade County,KY,", "
KY-165,"Menifee County, KY",53.9,31,-1.9,55.8,Menifee County,KY,", "
KY-167,"Mercer County, KY",55.2,34,-1.3,56.5,Mercer County,KY,", "
KY-169,"Metcalfe County, KY",55.3,28,-2,57.3,Metcalfe County,KY,", "
KY-171,"Monroe County, KY",55.3,20,-2.7,58,Monroe County,KY,", "
KY-173,"Montgomery County, KY",54.2,33,-1.6,55.8,Montgomery County,KY,", "
KY-175,"Morgan County, KY",53.6,30,-2.1,55.7,Morgan County,KY,", "
KY-177,"Muhlenberg County, KY",57.2,40,-1.4,58.6,Muhlenberg County,KY,", "
KY-179,"Nelson County, KY",55.6,35,-1.3,56.9,Nelson County,KY,", "
KY-181,"Nicholas County, KY",53.9,33,-1.5,55.4,Nicholas County,KY,", "
KY-183,"Ohio County, KY",56.4,34,-1.5,57.9,Ohio County,KY,", "
KY-185,"Oldham County, KY",54.9,41,-1.1,56,Oldham County,KY,", "
KY-187,"Owen County, KY",54.7,38,-1.2,55.9,Owen County,KY,", "
KY-189,"Owsley County, KY",54.3,24,-2.7,57,Owsley County,KY,", "
KY-191,"Pendleton County, KY",54.2,35,-1.4,55.6,Pendleton County,KY,", "
KY-193,"Perry County, KY",53.8,21,-2.8,56.6,Perry County,KY,", "
KY-195,"Pike County, KY",53.1,18,-3.6,56.7,Pike County,KY,", "
KY-197,"Powell County, KY",54.6,30,-1.9,56.5,Powell County,KY,", "
KY-199,"Pulaski County, KY",53.4,19,-3.1,56.5,Pulaski County,KY,", "
KY-201,"Robertson County, KY",53.6,31,-1.6,55.2,Robertson County,KY,", "
KY-203,"Rockcastle County, KY",53.6,23,-2.7,56.3,Rockcastle County,KY,", "
KY-205,"Rowan County, KY",53.5,31,-1.7,55.2,Rowan County,KY,", "
KY-207,"Russell County, KY",54.1,23,-2.7,56.8,Russell County,KY,", "
KY-209,"Scott County, KY",54.4,36,-1.5,55.9,Scott County,KY,", "
KY-211,"Shelby County, KY",54.7,37,-1.3,56,Shelby County,KY,", "
KY-213,"Simpson County, KY",56.7,24,-2,58.7,Simpson County,KY,", "
KY-215,"Spencer County, KY",55.3,36,-1.3,56.6,Spencer County,KY,", "
KY-217,"Taylor County, KY",55.1,31,-1.7,56.8,Taylor County,KY,", "
KY-219,"Todd County, KY",56.7,27,-1.9,58.6,Todd County,KY,", "
KY-221,"Trigg County, KY",56.7,23,-2.4,59.1,Trigg County,KY,", "
KY-223,"Trimble County, KY",54.8,41,-1.1,55.9,Trimble County,KY,", "
KY-225,"Union County, KY",57.1,39,-1.5,58.6,Union County,KY,", "
KY-227,"Warren County, KY",57.2,37,-1.5,58.7,Warren County,KY,", "
KY-229,"Washington County, KY",55.2,35,-1.4,56.6,Washington County,KY,", "
KY-231,"Wayne County, KY",53.4,15,-3.1,56.5,Wayne County,KY,", "
KY-233,"Webster County, KY",57,35,-1.6,58.6,Webster County,KY,", "
KY-235,"Whitley County, KY",52.4,10,-3.8,56.2,Whitley County,KY,", "
KY-237,"Wolfe County, KY",54.2,30,-2.1,56.3,Wolfe County,KY,", "
KY-239,"Woodford County, KY",55.1,37,-1.2,56.3,Woodford County,KY,", "
LA-001,"Acadia Parish, LA",67.3,25,-1.8,69.1,Acadia Parish,LA,", "
LA-003,"Allen Parish, LA",66.5,29,-1.8,68.3,Allen Parish,LA,", "
LA-005,"Ascension Parish, LA",67.1,25,-1.6,68.7,Ascension Parish,LA,", "
LA-007,"Assumption Parish, LA",67.4,25,-1.8,69.2,Assumption Parish,LA,", "
LA-009,"Avoyelles Parish, LA",66.1,34,-1.3,67.4,Avoyelles Parish,LA,", "
LA-011,"Beauregard Parish, LA",66.5,30,-1.4,67.9,Beauregard Parish,LA,", "
LA-013,"Bienville Parish, LA",64.1,43,-1,65.1,Bienville Parish,LA,", "
LA-015,"Bossier Parish, LA",64.6,49,-0.8,65.4,Bossier Parish,LA,", "
LA-017,"Caddo Parish, LA",64.8,43,-1,65.8,Caddo Parish,LA,", "
LA-019,"Calcasieu Parish, LA",66.9,19,-2.3,69.2,Calcasieu Parish,LA,", "
LA-021,"Caldwell Parish, LA",64.8,48,-0.7,65.5,Caldwell Parish,LA,", "
LA-023,"Cameron Parish, LA",68.2,20,-2,70.2,Cameron Parish,LA,", "
LA-025,"Catahoula Parish, LA",65.9,51,-0.6,66.5,Catahoula Parish,LA,", "
LA-027,"Claiborne Parish, LA",63.6,46,-1,64.6,Claiborne Parish,LA,", "
LA-029,"Concordia Parish, LA",66.3,47,-0.6,66.9,Concordia Parish,LA,", "
LA-031,"De Soto Parish, LA",64.8,41,-1,65.8,De Soto Parish,LA,", "
LA-033,"East Baton Rouge Parish, LA",66.8,35,-1.3,68.1,East Baton Rouge Parish,LA,", "
LA-035,"East Carroll Parish, LA",64.9,62,0,64.9,East Carroll Parish,LA,", "
LA-037,"East Feliciana Parish, LA",66.2,40,-1,67.2,East Feliciana Parish,LA,", "
LA-039,"Evangeline Parish, LA",66.3,28,-1.8,68.1,Evangeline Parish,LA,", "
LA-041,"Franklin Parish, LA",65.3,54,-0.4,65.7,Franklin Parish,LA,", "
LA-043,"Grant Parish, LA",65,34,-1.3,66.3,Grant Parish,LA,", "
LA-045,"Iberia Parish, LA",68.1,36,-1.3,69.4,Iberia Parish,LA,", "
LA-047,"Iberville Parish, LA",67.3,33,-1.3,68.6,Iberville Parish,LA,", "
LA-049,"Jackson Parish, LA",63.9,45,-0.9,64.8,Jackson Parish,LA,", "
LA-051,"Jefferson Parish, LA",69.1,38,-1.1,70.2,Jefferson Parish,LA,", "
LA-053,"Jefferson Davis Parish, LA",67.2,19,-2.2,69.4,Jefferson Davis Parish,LA,", "
LA-055,"Lafayette Parish, LA",67.6,34,-1.3,68.9,Lafayette Parish,LA,", "
LA-057,"Lafourche Parish, LA",68.6,27,-1.6,70.2,Lafourche Parish,LA,", "
LA-059,"La Salle Parish, LA",65.3,40,-0.9,66.2,La Salle Parish,LA,", "
LA-061,"Lincoln Parish, LA",63.7,47,-0.9,64.6,Lincoln Parish,LA,", "
LA-063,"Livingston Parish, LA",66.7,32,-1.4,68.1,Livingston Parish,LA,", "
LA-065,"Madison Parish, LA",65.4,62,0.1,65.3,Madison Parish,LA,", "
LA-067,"Morehouse Parish, LA",64.3,55,-0.3,64.6,Morehouse Parish,LA,", "
LA-069,"Natchitoches Parish, LA",65,40,-1.2,66.2,Natchitoches Parish,LA,", "
LA-071,"Orleans Parish, LA",68.7,41,-0.9,69.6,Orleans Parish,LA,", "
LA-073,"Ouachita Parish, LA",64.3,48,-0.7,65,Ouachita Parish,LA,", "
LA-075,"Plaquemines Parish, LA",70.1,35,-1.1,71.2,Plaquemines Parish,LA,", "
LA-077,"Pointe Coupee Parish, LA",67.1,43,-0.8,67.9,Pointe Coupee Parish,LA,", "
LA-079,"Rapides Parish, LA",65.8,37,-1.3,67.1,Rapides Parish,LA,", "
LA-081,"Red River Parish, LA",64.7,42,-1,65.7,Red River Parish,LA,", "
LA-083,"Richland Parish, LA",64.8,53,-0.4,65.2,Richland Parish,LA,", "
LA-085,"Sabine Parish, LA",65.4,53,-0.6,66,Sabine Parish,LA,", "
LA-087,"St. Bernard Parish, LA",69.2,39,-0.9,70.1,St. Bernard Parish,LA,", "
LA-089,"St. Charles Parish, LA",68.3,35,-1.3,69.6,St. Charles Parish,LA,", "
LA-091,"St. Helena Parish, LA",65.7,36,-1.2,66.9,St. Helena Parish,LA,", "
LA-093,"St. James Parish, LA",67.3,24,-1.8,69.1,St. James Parish,LA,", "
LA-095,"St. John the Baptist Parish, LA",67.6,32,-1.4,69,St. John the Baptist Parish,LA,", "
LA-097,"St. Landry Parish, LA",66.8,34,-1.4,68.2,St. Landry Parish,LA,", "
LA-099,"St. Martin Parish, LA",67.5,35,-1.4,68.9,St. Martin Parish,LA,", "
LA-101,"St. Mary Parish, LA",68.4,35,-1.2,69.6,St. Mary Parish,LA,", "
LA-103,"St. Tammany Parish, LA",66.6,32,-1.3,67.9,St. Tammany Parish,LA,", "
LA-105,"Tangipahoa Parish, LA",66.1,33,-1.3,67.4,Tangipahoa Parish,LA,", "
LA-107,"Tensas Parish, LA",65.9,60,0,65.9,Tensas Parish,LA,", "
LA-109,"Terrebonne Parish, LA",68.5,26,-1.8,70.3,Terrebonne Parish,LA,", "
LA-111,"Union Parish, LA",63.8,47,-0.7,64.5,Union Parish,LA,", "
LA-113,"Vermilion Parish, LA",68.6,33,-1.2,69.8,Vermilion Parish,LA,", "
LA-115,"Vernon Parish, LA",66.3,56,-0.4,66.7,Vernon Parish,LA,", "
LA-117,"Washington Parish, LA",65.4,33,-1.3,66.7,Washington Parish,LA,", "
LA-119,"Webster Parish, LA",64.2,48,-1,65.2,Webster Parish,LA,", "
LA-121,"West Baton Rouge Parish, LA",67.2,38,-1.2,68.4,West Baton Rouge Parish,LA,", "
LA-123,"West Carroll Parish, LA",64.7,62,0,64.7,West Carroll Parish,LA,", "
LA-125,"West Feliciana Parish, LA",66.9,47,-0.6,67.5,West Feliciana Parish,LA,", "
LA-127,"Winn Parish, LA",64.4,40,-1.1,65.5,Winn Parish,LA,", "
ME-001,"Androscoggin County, ME",50.6,117,3.7,46.9,Androscoggin County,ME,", "
ME-003,"Aroostook County, ME",48.6,127,6.3,42.3,Aroostook County,ME,", "
ME-005,"Cumberland County, ME",50.4,109,2.9,47.5,Cumberland County,ME,", "
ME-007,"Franklin County, ME",47.2,118,4.5,42.7,Franklin County,ME,", "
ME-009,"Hancock County, ME",51.5,122,4.5,47,Hancock County,ME,", "
