a,a,a,a,a,a,a,a,a,a,a,a,a
a,"Tama County, Iowa",0.912,Iowa,IA,Tama County,19,171,pctunmetneed,2014,0.912,", ",91.2
a,"Taylor County, Iowa",0.8863,Iowa,IA,Taylor County,19,173,pctunmetneed,2014,0.8863,", ",88.63
a,"Union County, Iowa",0.8863,Iowa,IA,Union County,19,175,pctunmetneed,2014,0.8863,", ",88.63
a,"Van Buren County, Iowa",0.9315,Iowa,IA,Van Buren County,19,177,pctunmetneed,2014,0.9315,", ",93.15
a,"Wapello County, Iowa",0.9315,Iowa,IA,Wapello County,19,179,pctunmetneed,2014,0.9315,", ",93.15
a,"Warren County, Iowa",0.93,Iowa,IA,Warren County,19,181,pctunmetneed,2014,0.93,", ",93
a,"Washington County, Iowa",0.9315,Iowa,IA,Washington County,19,183,pctunmetneed,2014,0.9315,", ",93.15
a,"Wayne County, Iowa",0.9315,Iowa,IA,Wayne County,19,185,pctunmetneed,2014,0.9315,", ",93.15
a,"Webster County, Iowa",0.8832,Iowa,IA,Webster County,19,187,pctunmetneed,2014,0.8832,", ",88.32
a,"Winnebago County, Iowa",0.912,Iowa,IA,Winnebago County,19,189,pctunmetneed,2014,0.912,", ",91.2
a,"Winneshiek County, Iowa",0.8723,Iowa,IA,Winneshiek County,19,191,pctunmetneed,2014,0.8723,", ",87.23
a,"Woodbury County, Iowa",0.8832,Iowa,IA,Woodbury County,19,193,pctunmetneed,2014,0.8832,", ",88.32
a,"Worth County, Iowa",0.912,Iowa,IA,Worth County,19,195,pctunmetneed,2014,0.912,", ",91.2
a,"Wright County, Iowa",0.8832,Iowa,IA,Wright County,19,197,pctunmetneed,2014,0.8832,", ",88.32
a,"Allen County, Kansas",0.8983,Kansas,KS,Allen County,20,1,pctunmetneed,2014,0.8983,", ",89.83
a,"Anderson County, Kansas",0.8983,Kansas,KS,Anderson County,20,3,pctunmetneed,2014,0.8983,", ",89.83
a,"Atchison County, Kansas",0.8879,Kansas,KS,Atchison County,20,5,pctunmetneed,2014,0.8879,", ",88.79
a,"Barber County, Kansas",0.891,Kansas,KS,Barber County,20,7,pctunmetneed,2014,0.891,", ",89.1
a,"Barton County, Kansas",0.891,Kansas,KS,Barton County,20,9,pctunmetneed,2014,0.891,", ",89.1
a,"Bourbon County, Kansas",0.8983,Kansas,KS,Bourbon County,20,11,pctunmetneed,2014,0.8983,", ",89.83
a,"Brown County, Kansas",0.8879,Kansas,KS,Brown County,20,13,pctunmetneed,2014,0.8879,", ",88.79
a,"Butler County, Kansas",0.8785,Kansas,KS,Butler County,20,15,pctunmetneed,2014,0.8785,", ",87.85
a,"Chase County, Kansas",0.8785,Kansas,KS,Chase County,20,17,pctunmetneed,2014,0.8785,", ",87.85
a,"Chautauqua County, Kansas",0.8785,Kansas,KS,Chautauqua County,20,19,pctunmetneed,2014,0.8785,", ",87.85
a,"Cherokee County, Kansas",0.8983,Kansas,KS,Cherokee County,20,21,pctunmetneed,2014,0.8983,", ",89.83
a,"Cheyenne County, Kansas",0.891,Kansas,KS,Cheyenne County,20,23,pctunmetneed,2014,0.891,", ",89.1
a,"Clark County, Kansas",0.891,Kansas,KS,Clark County,20,25,pctunmetneed,2014,0.891,", ",89.1
a,"Clay County, Kansas",0.8879,Kansas,KS,Clay County,20,27,pctunmetneed,2014,0.8879,", ",88.79
a,"Cloud County, Kansas",0.8879,Kansas,KS,Cloud County,20,29,pctunmetneed,2014,0.8879,", ",88.79
a,"Coffey County, Kansas",0.8785,Kansas,KS,Coffey County,20,31,pctunmetneed,2014,0.8785,", ",87.85
a,"Comanche County, Kansas",0.891,Kansas,KS,Comanche County,20,33,pctunmetneed,2014,0.891,", ",89.1
a,"Cowley County, Kansas",0.8785,Kansas,KS,Cowley County,20,35,pctunmetneed,2014,0.8785,", ",87.85
a,"Crawford County, Kansas",0.8983,Kansas,KS,Crawford County,20,37,pctunmetneed,2014,0.8983,", ",89.83
a,"Decatur County, Kansas",0.891,Kansas,KS,Decatur County,20,39,pctunmetneed,2014,0.891,", ",89.1
a,"Dickinson County, Kansas",0.8879,Kansas,KS,Dickinson County,20,41,pctunmetneed,2014,0.8879,", ",88.79
a,"Doniphan County, Kansas",0.8879,Kansas,KS,Doniphan County,20,43,pctunmetneed,2014,0.8879,", ",88.79
a,"Douglas County, Kansas",0.9005,Kansas,KS,Douglas County,20,45,pctunmetneed,2014,0.9005,", ",90.05
a,"Edwards County, Kansas",0.891,Kansas,KS,Edwards County,20,47,pctunmetneed,2014,0.891,", ",89.1
a,"Elk County, Kansas",0.8785,Kansas,KS,Elk County,20,49,pctunmetneed,2014,0.8785,", ",87.85
a,"Ellis County, Kansas",0.891,Kansas,KS,Ellis County,20,51,pctunmetneed,2014,0.891,", ",89.1
a,"Ellsworth County, Kansas",0.8879,Kansas,KS,Ellsworth County,20,53,pctunmetneed,2014,0.8879,", ",88.79
a,"Finney County, Kansas",0.891,Kansas,KS,Finney County,20,55,pctunmetneed,2014,0.891,", ",89.1
a,"Ford County, Kansas",0.891,Kansas,KS,Ford County,20,57,pctunmetneed,2014,0.891,", ",89.1
a,"Franklin County, Kansas",0.9005,Kansas,KS,Franklin County,20,59,pctunmetneed,2014,0.9005,", ",90.05
a,"Geary County, Kansas",0.8879,Kansas,KS,Geary County,20,61,pctunmetneed,2014,0.8879,", ",88.79
a,"Gove County, Kansas",0.891,Kansas,KS,Gove County,20,63,pctunmetneed,2014,0.891,", ",89.1
a,"Graham County, Kansas",0.891,Kansas,KS,Graham County,20,65,pctunmetneed,2014,0.891,", ",89.1
a,"Grant County, Kansas",0.891,Kansas,KS,Grant County,20,67,pctunmetneed,2014,0.891,", ",89.1
a,"Gray County, Kansas",0.891,Kansas,KS,Gray County,20,69,pctunmetneed,2014,0.891,", ",89.1
a,"Greeley County, Kansas",0.891,Kansas,KS,Greeley County,20,71,pctunmetneed,2014,0.891,", ",89.1
a,"Greenwood County, Kansas",0.8785,Kansas,KS,Greenwood County,20,73,pctunmetneed,2014,0.8785,", ",87.85
a,"Hamilton County, Kansas",0.891,Kansas,KS,Hamilton County,20,75,pctunmetneed,2014,0.891,", ",89.1
a,"Harper County, Kansas",0.8785,Kansas,KS,Harper County,20,77,pctunmetneed,2014,0.8785,", ",87.85
a,"Harvey County, Kansas",0.8785,Kansas,KS,Harvey County,20,79,pctunmetneed,2014,0.8785,", ",87.85
a,"Haskell County, Kansas",0.891,Kansas,KS,Haskell County,20,81,pctunmetneed,2014,0.891,", ",89.1
a,"Hodgeman County, Kansas",0.891,Kansas,KS,Hodgeman County,20,83,pctunmetneed,2014,0.891,", ",89.1
a,"Jackson County, Kansas",0.8879,Kansas,KS,Jackson County,20,85,pctunmetneed,2014,0.8879,", ",88.79
a,"Jefferson County, Kansas",0.8879,Kansas,KS,Jefferson County,20,87,pctunmetneed,2014,0.8879,", ",88.79
a,"Jewell County, Kansas",0.8879,Kansas,KS,Jewell County,20,89,pctunmetneed,2014,0.8879,", ",88.79
a,"Johnson County, Kansas",0.9005,Kansas,KS,Johnson County,20,91,pctunmetneed,2014,0.9005,", ",90.05
a,"Kearny County, Kansas",0.891,Kansas,KS,Kearny County,20,93,pctunmetneed,2014,0.891,", ",89.1
a,"Kingman County, Kansas",0.8785,Kansas,KS,Kingman County,20,95,pctunmetneed,2014,0.8785,", ",87.85
a,"Kiowa County, Kansas",0.891,Kansas,KS,Kiowa County,20,97,pctunmetneed,2014,0.891,", ",89.1
a,"Labette County, Kansas",0.8983,Kansas,KS,Labette County,20,99,pctunmetneed,2014,0.8983,", ",89.83
a,"Lane County, Kansas",0.891,Kansas,KS,Lane County,20,101,pctunmetneed,2014,0.891,", ",89.1
a,"Leavenworth County, Kansas",0.9005,Kansas,KS,Leavenworth County,20,103,pctunmetneed,2014,0.9005,", ",90.05
a,"Lincoln County, Kansas",0.8879,Kansas,KS,Lincoln County,20,105,pctunmetneed,2014,0.8879,", ",88.79
a,"Linn County, Kansas",0.8983,Kansas,KS,Linn County,20,107,pctunmetneed,2014,0.8983,", ",89.83
a,"Logan County, Kansas",0.891,Kansas,KS,Logan County,20,109,pctunmetneed,2014,0.891,", ",89.1
a,"Lyon County, Kansas",0.8785,Kansas,KS,Lyon County,20,111,pctunmetneed,2014,0.8785,", ",87.85
a,"McPherson County, Kansas",0.8785,Kansas,KS,McPherson County,20,113,pctunmetneed,2014,0.8785,", ",87.85
a,"Marion County, Kansas",0.8785,Kansas,KS,Marion County,20,115,pctunmetneed,2014,0.8785,", ",87.85
a,"Marshall County, Kansas",0.8879,Kansas,KS,Marshall County,20,117,pctunmetneed,2014,0.8879,", ",88.79
a,"Meade County, Kansas",0.891,Kansas,KS,Meade County,20,119,pctunmetneed,2014,0.891,", ",89.1
a,"Miami County, Kansas",0.9005,Kansas,KS,Miami County,20,121,pctunmetneed,2014,0.9005,", ",90.05
a,"Mitchell County, Kansas",0.8879,Kansas,KS,Mitchell County,20,123,pctunmetneed,2014,0.8879,", ",88.79
a,"Montgomery County, Kansas",0.8983,Kansas,KS,Montgomery County,20,125,pctunmetneed,2014,0.8983,", ",89.83
a,"Morris County, Kansas",0.8785,Kansas,KS,Morris County,20,127,pctunmetneed,2014,0.8785,", ",87.85
a,"Morton County, Kansas",0.891,Kansas,KS,Morton County,20,129,pctunmetneed,2014,0.891,", ",89.1
a,"Nemaha County, Kansas",0.8879,Kansas,KS,Nemaha County,20,131,pctunmetneed,2014,0.8879,", ",88.79
a,"Neosho County, Kansas",0.8983,Kansas,KS,Neosho County,20,133,pctunmetneed,2014,0.8983,", ",89.83
a,"Ness County, Kansas",0.891,Kansas,KS,Ness County,20,135,pctunmetneed,2014,0.891,", ",89.1
a,"Norton County, Kansas",0.891,Kansas,KS,Norton County,20,137,pctunmetneed,2014,0.891,", ",89.1
a,"Osage County, Kansas",0.8879,Kansas,KS,Osage County,20,139,pctunmetneed,2014,0.8879,", ",88.79
a,"Osborne County, Kansas",0.891,Kansas,KS,Osborne County,20,141,pctunmetneed,2014,0.891,", ",89.1
a,"Ottawa County, Kansas",0.8879,Kansas,KS,Ottawa County,20,143,pctunmetneed,2014,0.8879,", ",88.79
a,"Pawnee County, Kansas",0.891,Kansas,KS,Pawnee County,20,145,pctunmetneed,2014,0.891,", ",89.1
a,"Phillips County, Kansas",0.891,Kansas,KS,Phillips County,20,147,pctunmetneed,2014,0.891,", ",89.1
a,"Pottawatomie County, Kansas",0.8879,Kansas,KS,Pottawatomie County,20,149,pctunmetneed,2014,0.8879,", ",88.79
a,"Pratt County, Kansas",0.891,Kansas,KS,Pratt County,20,151,pctunmetneed,2014,0.891,", ",89.1
a,"Rawlins County, Kansas",0.891,Kansas,KS,Rawlins County,20,153,pctunmetneed,2014,0.891,", ",89.1
a,"Reno County, Kansas",0.8785,Kansas,KS,Reno County,20,155,pctunmetneed,2014,0.8785,", ",87.85
a,"Republic County, Kansas",0.8879,Kansas,KS,Republic County,20,157,pctunmetneed,2014,0.8879,", ",88.79
a,"Rice County, Kansas",0.8785,Kansas,KS,Rice County,20,159,pctunmetneed,2014,0.8785,", ",87.85
a,"Riley County, Kansas",0.8879,Kansas,KS,Riley County,20,161,pctunmetneed,2014,0.8879,", ",88.79
a,"Rooks County, Kansas",0.891,Kansas,KS,Rooks County,20,163,pctunmetneed,2014,0.891,", ",89.1
a,"Rush County, Kansas",0.891,Kansas,KS,Rush County,20,165,pctunmetneed,2014,0.891,", ",89.1
a,"Russell County, Kansas",0.891,Kansas,KS,Russell County,20,167,pctunmetneed,2014,0.891,", ",89.1
a,"Saline County, Kansas",0.8879,Kansas,KS,Saline County,20,169,pctunmetneed,2014,0.8879,", ",88.79
a,"Scott County, Kansas",0.891,Kansas,KS,Scott County,20,171,pctunmetneed,2014,0.891,", ",89.1
a,"Sedgwick County, Kansas",0.8488,Kansas,KS,Sedgwick County,20,173,pctunmetneed,2014,0.8488,", ",84.88
a,"Seward County, Kansas",0.891,Kansas,KS,Seward County,20,175,pctunmetneed,2014,0.891,", ",89.1
a,"Shawnee County, Kansas",0.8879,Kansas,KS,Shawnee County,20,177,pctunmetneed,2014,0.8879,", ",88.79
a,"Sheridan County, Kansas",0.891,Kansas,KS,Sheridan County,20,179,pctunmetneed,2014,0.891,", ",89.1
a,"Sherman County, Kansas",0.891,Kansas,KS,Sherman County,20,181,pctunmetneed,2014,0.891,", ",89.1
a,"Smith County, Kansas",0.891,Kansas,KS,Smith County,20,183,pctunmetneed,2014,0.891,", ",89.1
a,"Stafford County, Kansas",0.891,Kansas,KS,Stafford County,20,185,pctunmetneed,2014,0.891,", ",89.1
a,"Stanton County, Kansas",0.891,Kansas,KS,Stanton County,20,187,pctunmetneed,2014,0.891,", ",89.1
a,"Stevens County, Kansas",0.891,Kansas,KS,Stevens County,20,189,pctunmetneed,2014,0.891,", ",89.1
a,"Sumner County, Kansas",0.8785,Kansas,KS,Sumner County,20,191,pctunmetneed,2014,0.8785,", ",87.85
a,"Thomas County, Kansas",0.891,Kansas,KS,Thomas County,20,193,pctunmetneed,2014,0.891,", ",89.1
a,"Trego County, Kansas",0.891,Kansas,KS,Trego County,20,195,pctunmetneed,2014,0.891,", ",89.1
a,"Wabaunsee County, Kansas",0.8879,Kansas,KS,Wabaunsee County,20,197,pctunmetneed,2014,0.8879,", ",88.79
a,"Wallace County, Kansas",0.891,Kansas,KS,Wallace County,20,199,pctunmetneed,2014,0.891,", ",89.1
a,"Washington County, Kansas",0.8879,Kansas,KS,Washington County,20,201,pctunmetneed,2014,0.8879,", ",88.79
a,"Wichita County, Kansas",0.891,Kansas,KS,Wichita County,20,203,pctunmetneed,2014,0.891,", ",89.1
a,"Wilson County, Kansas",0.8983,Kansas,KS,Wilson County,20,205,pctunmetneed,2014,0.8983,", ",89.83
a,"Woodson County, Kansas",0.8983,Kansas,KS,Woodson County,20,207,pctunmetneed,2014,0.8983,", ",89.83
a,"Wyandotte County, Kansas",0.9005,Kansas,KS,Wyandotte County,20,209,pctunmetneed,2014,0.9005,", ",90.05
a,"Adair County, Kentucky",0.9325,Kentucky,KY,Adair County,21,1,pctunmetneed,2014,0.9325,", ",93.25
a,"Allen County, Kentucky",0.9325,Kentucky,KY,Allen County,21,3,pctunmetneed,2014,0.9325,", ",93.25
a,"Anderson County, Kentucky",0.8889,Kentucky,KY,Anderson County,21,5,pctunmetneed,2014,0.8889,", ",88.89
a,"Ballard County, Kentucky",0.8893,Kentucky,KY,Ballard County,21,7,pctunmetneed,2014,0.8893,", ",88.93
a,"Barren County, Kentucky",0.9325,Kentucky,KY,Barren County,21,9,pctunmetneed,2014,0.9325,", ",93.25
a,"Bath County, Kentucky",0.9373,Kentucky,KY,Bath County,21,11,pctunmetneed,2014,0.9373,", ",93.73
a,"Bell County, Kentucky",0.9325,Kentucky,KY,Bell County,21,13,pctunmetneed,2014,0.9325,", ",93.25
a,"Boone County, Kentucky",0.8889,Kentucky,KY,Boone County,21,15,pctunmetneed,2014,0.8889,", ",88.89
a,"Bourbon County, Kentucky",0.8889,Kentucky,KY,Bourbon County,21,17,pctunmetneed,2014,0.8889,", ",88.89
a,"Boyd County, Kentucky",0.9373,Kentucky,KY,Boyd County,21,19,pctunmetneed,2014,0.9373,", ",93.73
a,"Boyle County, Kentucky",0.8889,Kentucky,KY,Boyle County,21,21,pctunmetneed,2014,0.8889,", ",88.89
a,"Bracken County, Kentucky",0.8889,Kentucky,KY,Bracken County,21,23,pctunmetneed,2014,0.8889,", ",88.89
a,"Breathitt County, Kentucky",0.9373,Kentucky,KY,Breathitt County,21,25,pctunmetneed,2014,0.9373,", ",93.73
a,"Breckinridge County, Kentucky",0.8932,Kentucky,KY,Breckinridge County,21,27,pctunmetneed,2014,0.8932,", ",89.32
a,"Bullitt County, Kentucky",0.837,Kentucky,KY,Bullitt County,21,29,pctunmetneed,2014,0.837,", ",83.7
a,"Butler County, Kentucky",0.9325,Kentucky,KY,Butler County,21,31,pctunmetneed,2014,0.9325,", ",93.25
a,"Caldwell County, Kentucky",0.8893,Kentucky,KY,Caldwell County,21,33,pctunmetneed,2014,0.8893,", ",88.93
a,"Calloway County, Kentucky",0.8893,Kentucky,KY,Calloway County,21,35,pctunmetneed,2014,0.8893,", ",88.93
a,"Campbell County, Kentucky",0.8889,Kentucky,KY,Campbell County,21,37,pctunmetneed,2014,0.8889,", ",88.89
a,"Carlisle County, Kentucky",0.8893,Kentucky,KY,Carlisle County,21,39,pctunmetneed,2014,0.8893,", ",88.93
a,"Carroll County, Kentucky",0.8889,Kentucky,KY,Carroll County,21,41,pctunmetneed,2014,0.8889,", ",88.89
a,"Carter County, Kentucky",0.9373,Kentucky,KY,Carter County,21,43,pctunmetneed,2014,0.9373,", ",93.73
a,"Casey County, Kentucky",0.9325,Kentucky,KY,Casey County,21,45,pctunmetneed,2014,0.9325,", ",93.25
a,"Christian County, Kentucky",0.8893,Kentucky,KY,Christian County,21,47,pctunmetneed,2014,0.8893,", ",88.93
a,"Clark County, Kentucky",0.8889,Kentucky,KY,Clark County,21,49,pctunmetneed,2014,0.8889,", ",88.89
a,"Clay County, Kentucky",0.9325,Kentucky,KY,Clay County,21,51,pctunmetneed,2014,0.9325,", ",93.25
a,"Clinton County, Kentucky",0.9325,Kentucky,KY,Clinton County,21,53,pctunmetneed,2014,0.9325,", ",93.25
a,"Crittenden County, Kentucky",0.8893,Kentucky,KY,Crittenden County,21,55,pctunmetneed,2014,0.8893,", ",88.93
a,"Cumberland County, Kentucky",0.9325,Kentucky,KY,Cumberland County,21,57,pctunmetneed,2014,0.9325,", ",93.25
a,"Daviess County, Kentucky",0.8932,Kentucky,KY,Daviess County,21,59,pctunmetneed,2014,0.8932,", ",89.32
a,"Edmonson County, Kentucky",0.9325,Kentucky,KY,Edmonson County,21,61,pctunmetneed,2014,0.9325,", ",93.25
a,"Elliott County, Kentucky",0.9373,Kentucky,KY,Elliott County,21,63,pctunmetneed,2014,0.9373,", ",93.73
a,"Estill County, Kentucky",0.8889,Kentucky,KY,Estill County,21,65,pctunmetneed,2014,0.8889,", ",88.89
a,"Fayette County, Kentucky",0.8889,Kentucky,KY,Fayette County,21,67,pctunmetneed,2014,0.8889,", ",88.89
a,"Fleming County, Kentucky",0.8889,Kentucky,KY,Fleming County,21,69,pctunmetneed,2014,0.8889,", ",88.89
a,"Floyd County, Kentucky",0.9373,Kentucky,KY,Floyd County,21,71,pctunmetneed,2014,0.9373,", ",93.73
a,"Franklin County, Kentucky",0.8889,Kentucky,KY,Franklin County,21,73,pctunmetneed,2014,0.8889,", ",88.89
a,"Fulton County, Kentucky",0.8893,Kentucky,KY,Fulton County,21,75,pctunmetneed,2014,0.8893,", ",88.93
a,"Gallatin County, Kentucky",0.8889,Kentucky,KY,Gallatin County,21,77,pctunmetneed,2014,0.8889,", ",88.89
a,"Garrard County, Kentucky",0.8889,Kentucky,KY,Garrard County,21,79,pctunmetneed,2014,0.8889,", ",88.89
a,"Grant County, Kentucky",0.8889,Kentucky,KY,Grant County,21,81,pctunmetneed,2014,0.8889,", ",88.89
a,"Graves County, Kentucky",0.8893,Kentucky,KY,Graves County,21,83,pctunmetneed,2014,0.8893,", ",88.93
a,"Grayson County, Kentucky",0.8932,Kentucky,KY,Grayson County,21,85,pctunmetneed,2014,0.8932,", ",89.32
a,"Green County, Kentucky",0.9325,Kentucky,KY,Green County,21,87,pctunmetneed,2014,0.9325,", ",93.25
a,"Greenup County, Kentucky",0.9373,Kentucky,KY,Greenup County,21,89,pctunmetneed,2014,0.9373,", ",93.73
a,"Hancock County, Kentucky",0.8932,Kentucky,KY,Hancock County,21,91,pctunmetneed,2014,0.8932,", ",89.32
a,"Hardin County, Kentucky",0.8932,Kentucky,KY,Hardin County,21,93,pctunmetneed,2014,0.8932,", ",89.32
a,"Harlan County, Kentucky",0.9325,Kentucky,KY,Harlan County,21,95,pctunmetneed,2014,0.9325,", ",93.25
a,"Harrison County, Kentucky",0.8889,Kentucky,KY,Harrison County,21,97,pctunmetneed,2014,0.8889,", ",88.89
a,"Hart County, Kentucky",0.9325,Kentucky,KY,Hart County,21,99,pctunmetneed,2014,0.9325,", ",93.25
a,"Henderson County, Kentucky",0.8932,Kentucky,KY,Henderson County,21,101,pctunmetneed,2014,0.8932,", ",89.32
a,"Henry County, Kentucky",0.837,Kentucky,KY,Henry County,21,103,pctunmetneed,2014,0.837,", ",83.7
a,"Hickman County, Kentucky",0.8893,Kentucky,KY,Hickman County,21,105,pctunmetneed,2014,0.8893,", ",88.93
a,"Hopkins County, Kentucky",0.8893,Kentucky,KY,Hopkins County,21,107,pctunmetneed,2014,0.8893,", ",88.93
a,"Jackson County, Kentucky",0.9325,Kentucky,KY,Jackson County,21,109,pctunmetneed,2014,0.9325,", ",93.25
a,"Jefferson County, Kentucky",0.837,Kentucky,KY,Jefferson County,21,111,pctunmetneed,2014,0.837,", ",83.7
a,"Jessamine County, Kentucky",0.8889,Kentucky,KY,Jessamine County,21,113,pctunmetneed,2014,0.8889,", ",88.89
a,"Johnson County, Kentucky",0.9373,Kentucky,KY,Johnson County,21,115,pctunmetneed,2014,0.9373,", ",93.73
a,"Kenton County, Kentucky",0.8889,Kentucky,KY,Kenton County,21,117,pctunmetneed,2014,0.8889,", ",88.89
a,"Knott County, Kentucky",0.9373,Kentucky,KY,Knott County,21,119,pctunmetneed,2014,0.9373,", ",93.73
a,"Knox County, Kentucky",0.9325,Kentucky,KY,Knox County,21,121,pctunmetneed,2014,0.9325,", ",93.25
a,"Larue County, Kentucky",0.8932,Kentucky,KY,Larue County,21,123,pctunmetneed,2014,0.8932,", ",89.32
a,"Laurel County, Kentucky",0.9325,Kentucky,KY,Laurel County,21,125,pctunmetneed,2014,0.9325,", ",93.25
a,"Lawrence County, Kentucky",0.9373,Kentucky,KY,Lawrence County,21,127,pctunmetneed,2014,0.9373,", ",93.73
a,"Lee County, Kentucky",0.9373,Kentucky,KY,Lee County,21,129,pctunmetneed,2014,0.9373,", ",93.73
a,"Leslie County, Kentucky",0.9373,Kentucky,KY,Leslie County,21,131,pctunmetneed,2014,0.9373,", ",93.73
a,"Letcher County, Kentucky",0.9373,Kentucky,KY,Letcher County,21,133,pctunmetneed,2014,0.9373,", ",93.73
a,"Lewis County, Kentucky",0.8889,Kentucky,KY,Lewis County,21,135,pctunmetneed,2014,0.8889,", ",88.89
a,"Lincoln County, Kentucky",0.8889,Kentucky,KY,Lincoln County,21,137,pctunmetneed,2014,0.8889,", ",88.89
a,"Livingston County, Kentucky",0.8893,Kentucky,KY,Livingston County,21,139,pctunmetneed,2014,0.8893,", ",88.93
a,"Logan County, Kentucky",0.9325,Kentucky,KY,Logan County,21,141,pctunmetneed,2014,0.9325,", ",93.25
a,"Lyon County, Kentucky",0.8893,Kentucky,KY,Lyon County,21,143,pctunmetneed,2014,0.8893,", ",88.93
a,"McCracken County, Kentucky",0.8893,Kentucky,KY,McCracken County,21,145,pctunmetneed,2014,0.8893,", ",88.93
a,"McCreary County, Kentucky",0.9325,Kentucky,KY,McCreary County,21,147,pctunmetneed,2014,0.9325,", ",93.25
a,"McLean County, Kentucky",0.8932,Kentucky,KY,McLean County,21,149,pctunmetneed,2014,0.8932,", ",89.32
a,"Madison County, Kentucky",0.8889,Kentucky,KY,Madison County,21,151,pctunmetneed,2014,0.8889,", ",88.89
a,"Magoffin County, Kentucky",0.9373,Kentucky,KY,Magoffin County,21,153,pctunmetneed,2014,0.9373,", ",93.73
a,"Marion County, Kentucky",0.8932,Kentucky,KY,Marion County,21,155,pctunmetneed,2014,0.8932,", ",89.32
a,"Marshall County, Kentucky",0.8893,Kentucky,KY,Marshall County,21,157,pctunmetneed,2014,0.8893,", ",88.93
a,"Martin County, Kentucky",0.9373,Kentucky,KY,Martin County,21,159,pctunmetneed,2014,0.9373,", ",93.73
a,"Mason County, Kentucky",0.8889,Kentucky,KY,Mason County,21,161,pctunmetneed,2014,0.8889,", ",88.89
a,"Meade County, Kentucky",0.8932,Kentucky,KY,Meade County,21,163,pctunmetneed,2014,0.8932,", ",89.32
a,"Menifee County, Kentucky",0.9373,Kentucky,KY,Menifee County,21,165,pctunmetneed,2014,0.9373,", ",93.73
a,"Mercer County, Kentucky",0.8889,Kentucky,KY,Mercer County,21,167,pctunmetneed,2014,0.8889,", ",88.89
a,"Metcalfe County, Kentucky",0.9325,Kentucky,KY,Metcalfe County,21,169,pctunmetneed,2014,0.9325,", ",93.25
a,"Monroe County, Kentucky",0.9325,Kentucky,KY,Monroe County,21,171,pctunmetneed,2014,0.9325,", ",93.25
a,"Montgomery County, Kentucky",0.9373,Kentucky,KY,Montgomery County,21,173,pctunmetneed,2014,0.9373,", ",93.73
a,"Morgan County, Kentucky",0.9373,Kentucky,KY,Morgan County,21,175,pctunmetneed,2014,0.9373,", ",93.73
a,"Muhlenberg County, Kentucky",0.8893,Kentucky,KY,Muhlenberg County,21,177,pctunmetneed,2014,0.8893,", ",88.93
a,"Nelson County, Kentucky",0.8932,Kentucky,KY,Nelson County,21,179,pctunmetneed,2014,0.8932,", ",89.32
a,"Nicholas County, Kentucky",0.8889,Kentucky,KY,Nicholas County,21,181,pctunmetneed,2014,0.8889,", ",88.89
a,"Ohio County, Kentucky",0.8932,Kentucky,KY,Ohio County,21,183,pctunmetneed,2014,0.8932,", ",89.32
a,"Oldham County, Kentucky",0.837,Kentucky,KY,Oldham County,21,185,pctunmetneed,2014,0.837,", ",83.7
a,"Owen County, Kentucky",0.8889,Kentucky,KY,Owen County,21,187,pctunmetneed,2014,0.8889,", ",88.89
a,"Owsley County, Kentucky",0.9373,Kentucky,KY,Owsley County,21,189,pctunmetneed,2014,0.9373,", ",93.73
a,"Pendleton County, Kentucky",0.8889,Kentucky,KY,Pendleton County,21,191,pctunmetneed,2014,0.8889,", ",88.89
a,"Perry County, Kentucky",0.9373,Kentucky,KY,Perry County,21,193,pctunmetneed,2014,0.9373,", ",93.73
a,"Pike County, Kentucky",0.9373,Kentucky,KY,Pike County,21,195,pctunmetneed,2014,0.9373,", ",93.73
a,"Powell County, Kentucky",0.8889,Kentucky,KY,Powell County,21,197,pctunmetneed,2014,0.8889,", ",88.89
a,"Pulaski County, Kentucky",0.9325,Kentucky,KY,Pulaski County,21,199,pctunmetneed,2014,0.9325,", ",93.25
a,"Robertson County, Kentucky",0.8889,Kentucky,KY,Robertson County,21,201,pctunmetneed,2014,0.8889,", ",88.89
a,"Rockcastle County, Kentucky",0.9325,Kentucky,KY,Rockcastle County,21,203,pctunmetneed,2014,0.9325,", ",93.25
a,"Rowan County, Kentucky",0.9373,Kentucky,KY,Rowan County,21,205,pctunmetneed,2014,0.9373,", ",93.73
a,"Russell County, Kentucky",0.9325,Kentucky,KY,Russell County,21,207,pctunmetneed,2014,0.9325,", ",93.25
a,"Scott County, Kentucky",0.8889,Kentucky,KY,Scott County,21,209,pctunmetneed,2014,0.8889,", ",88.89
a,"Shelby County, Kentucky",0.837,Kentucky,KY,Shelby County,21,211,pctunmetneed,2014,0.837,", ",83.7
a,"Simpson County, Kentucky",0.9325,Kentucky,KY,Simpson County,21,213,pctunmetneed,2014,0.9325,", ",93.25
a,"Spencer County, Kentucky",0.837,Kentucky,KY,Spencer County,21,215,pctunmetneed,2014,0.837,", ",83.7
a,"Taylor County, Kentucky",0.9325,Kentucky,KY,Taylor County,21,217,pctunmetneed,2014,0.9325,", ",93.25
a,"Todd County, Kentucky",0.8893,Kentucky,KY,Todd County,21,219,pctunmetneed,2014,0.8893,", ",88.93
a,"Trigg County, Kentucky",0.8893,Kentucky,KY,Trigg County,21,221,pctunmetneed,2014,0.8893,", ",88.93
a,"Trimble County, Kentucky",0.837,Kentucky,KY,Trimble County,21,223,pctunmetneed,2014,0.837,", ",83.7
